단어,원형성,친숙성,쾌-불쾌,활성화
번뇌하다,3.11,3.59,2.83,3.68
번민하다,3.6,3.82,2.48,3.47
보람차다*,4.9,5.36,5.69,4.66
부끄럽다*,4.97,5.63,2.82,4.68
부럽다*,5.23,5.77,4,4.37
부아,2.89,2.87,2.28,4.88
분개하다,4.12,4.11,2.22,5.63
분노하다,4.76,5.13,1.84,6.17
분통,3.66,3.95,1.93,5.51
분하다,4.59,5.06,2.22,5.41
불만,4.4,5.4,2.47,4.93
불만족하다,3.8,4.52,2.38,3.99
불쌍하다,4.74,5.74,2.97,3.33
불안하다*,4.69,5.75,2.51,4.88
불쾌하다,4.74,5.48,2.13,5.46
불편하다*,4.27,5.61,2.53,4.45
불행하다*,4.36,5.52,2.16,4.19
비련,3.51,3.73,2.75,3.58
비분강개하다,3.29,2.77,2.8,5.67
비애,3.66,3.97,2.71,4.41
비장하다*,4.22,4.23,3.36,5.22
비참하다*,4.52,5.18,1.91,4.39
비탄하다,3.49,2.92,2.12,5.03
비통하다,3.7,3.49,1.8,5.1
뼈아프다,3.49,3.74,2.24,5.16
뾰로통하다,3.72,3.73,2.71,3.75
뿌듯하다*,5.31,5.31,5.75,4.63
사랑스럽다*,5.77,6.12,6.09,4.52
사모하다,4.45,4.47,5.11,4.38
사무치다*,4.12,4.26,2.49,4.81
살맛나다,4.61,4.92,5.75,5.16
멋쩍다,4.05,4.58,3.38,3.55
모멸,3.34,3.37,1.34,5.62
무감동하다,2.97,3.83,3.17,2.12
무덤덤하다,4.16,4.66,3.57,2.62
무력감,3.87,4.28,2.19,2.11
무료하다,4.05,4.55,2.89,2.23
무색하다,3.5,4.1,2.98,2.79
무섭다*,5.06,5.82,2.58,5.39
무시무시하다,4.03,4.82,2.54,5.16
무안하다*,4.6,5.38,2.91,3.69
뭉클하다,4.71,4.5,4.48,4.15
미안하다*,5.02,5.97,2.91,4.01
민망하다,4.5,5.26,2.85,4.39
밉다,4.86,5.62,2.25,5.04
박진감,3.97,4.29,4.94,5.41
반감,4.24,4.66,2.17,5.48
반갑다*,5.86,6.14,5.91,5.29
반하다*,4.78,5.18,4.94,4.63
반항심,3.83,4.92,2.58,5.45
