word,category,품사,valence,arousal,familiarity,prototypicality
불쌍하다,negative,술어,-1.03,-0.67,5.74,4.74
속상하다,negative,술어,-1.68,0.48,5.7,4.67
창피하다,negative,술어,-1.46,0.2,5.69,4.76
싫다,negative,술어,-1.76,0.76,5.68,5.03
외롭다,negative,술어,-1.72,-1.24,5.66,5.02
싫증나다,negative,술어,-1.55,-0.06,5.66,4.45
흥분,neutral,명사,0.289,2.2765,5.61,4.92
연민,neutral,명사,-0.14,-0.66,4.48,4.39
동병상련,neutral,명사,-0.15,-0.26,4.46,3.85
정욕,neutral,명사,-0.28,1.91,4.09,3.56
희비,neutral,명사,-0.2,0.61,4.08,3.76
우수,neutral,명사,0.28,-0.62,3.77,3.69
격정,neutral,명사,-0.43,1.6,3.72,3.83
회개,neutral,명사,-0.09,-0.42,3.7,3.19
애수,neutral,명사,-0.07,-0.31,3.63,3.71
공저자,neutral,명사,0.0,-0.125,,
차단기,neutral,명사,0.0,-0.4375,,
팍팍,neutral,명사,0.0,0.6,,
보고서,neutral,명사,0.0,-0.375,,
계산대,neutral,명사,-0.002,-0.718,,
문헌,neutral,명사,-0.002,-1.107,,
볼펜,neutral,명사,0.006,-0.881,,
도형,neutral,명사,-0.01,-0.889,,
표지,neutral,명사,0.013,-0.858,,
버튼,neutral,명사,0.013,-0.71,,
왼발,neutral,명사,-0.018,-0.71,,
바둑,neutral,명사,-0.018,-1.472,,
가구,neutral,명사,0.021,-1.006,,
박스,neutral,명사,0.029,-0.928,,
소품,neutral,명사,0.029,-0.694,,
피식피식,neutral,명사,-0.03,0.12,,
우산,neutral,명사,-0.033,-1.122,,
창호지,neutral,명사,-0.033,-1.083,,
계산기,neutral,명사,-0.033,-0.858,,
약재,neutral,명사,0.037,-1.068,,
단추,neutral,명사,0.037,-0.943,,
우유,neutral,명사,0.037,-0.842,,
원고지,neutral,명사,-0.041,-0.873,,
그립다,neutral,술어,0.37,-0.82,5.82,5.68
부럽다,neutral,술어,0.0,0.37,5.77,5.23
우습다,neutral,술어,-0.28,0.44,5.71,4.46
놀랍다,neutral,술어,0.35,1.61,5.58,4.77
놀라다,neutral,술어,0.12,1.67,5.56,4.85
뉘우치다,neutral,술어,-0.3,-0.43,5.34,4.59
찡하다,neutral,술어,0.09,0.67,4.95,4.9
담담하다,neutral,술어,-0.47,-1.3,4.81,4.32
덤덤하다,neutral,술어,-0.24,-1.41,4.71,4.43
애틋하다,neutral,술어,0.41,0.16,4.66,4.81
뭉클하다,neutral,술어,0.48,0.15,4.5,4.71
아련하다,neutral,술어,0.03,-0.89,4.13,4.32
경외하다,neutral,술어,0.34,-0.17,3.94,3.91
격동되다,neutral,술어,0.11,1.92,3.82,4.05
황공하다,neutral,술어,0.25,0.57,3.67,3.51
숙연하다,neutral,술어,-0.4,-1.06,3.63,3.48
애정,positive,명사,1.6245,-0.2495,5.46,4.61
호감,positive,명사,1.761,0.261,5.31,5.62
열정,positive,명사,1.598,1.421,5.18,4.79
쾌감,positive,명사,1.6095,1.409,5.15,5.31
안심,positive,명사,1.273,-1.9145,5.03,4.45
성취감,positive,명사,1.899,0.438,5.0,4.52
환희,positive,명사,1.738,1.177,4.7,4.5
순정,positive,명사,1.301,-1.1505,4.68,4.1
충족감,positive,명사,1.27,0.15,4.58,4.26
긍지,positive,명사,1.538,-0.2005,4.55,4.13
희열,positive,명사,1.3785,1.2865,4.42,4.49
매혹,positive,명사,1.1345,0.737,4.34,3.85
정감,positive,명사,1.6965,-0.9615,4.31,4.97
박진감,positive,명사,1.165,0.8945,4.29,3.97
열애,positive,명사,1.07,1.73,4.25,3.88
감명,positive,명사,1.545,-0.0855,4.24,4.06
온정,positive,명사,1.534,-1.541,4.02,4.01
자긍,positive,명사,1.37,0.48,3.97,3.94
대역전승,positive,명사,1.875,2.0,,
개척자,positive,명사,1.8125,1.8125,,
신기록,positive,명사,2.25,1.8125,,
신속히,positive,명사,1.25,1.8125,,
대히트,positive,명사,1.75,1.8125,,
순발력,positive,명사,1.4375,1.8125,,
전율,positive,명사,1.11,1.59,,
최고점,positive,명사,1.625,1.5625,,
참신성,positive,명사,2.25,1.5625,,
자신감,positive,명사,2.0,1.5625,,
우승,positive,명사,1.95,1.561,,
쾌거,positive,명사,1.826,1.538,,
대박,positive,명사,1.71,1.5,,
창의력,positive,명사,1.875,1.5,,
기쁘다,positive,술어,1.94,1.56,6.26,5.98
재미있다,positive,술어,1.72,0.79,6.19,5.7
반갑다,positive,술어,1.91,1.29,6.14,5.86
고맙다,positive,술어,1.5,-0.23,6.13,5.39
좋다,positive,술어,1.54,1.13,6.12,5.9
즐겁다,positive,술어,1.89,1.54,6.09,5.87
행복하다,positive,술어,2.16,0.7,6.08,5.88
편하다,positive,술어,1.54,-1.3,6.01,5.23
편안하다,positive,술어,1.4,-1.67,5.95,5.47
즐기다,positive,술어,1.57,1.14,5.93,4.72
만족하다,positive,술어,1.64,-0.02,5.92,5.34
상쾌하다,positive,술어,1.99,1.16,5.85,5.5
흥미롭다,positive,술어,1.56,0.76,5.82,5.05
신나다,positive,술어,1.96,1.89,5.76,5.8
떳떳하다,positive,술어,1.4,0.15,5.6,5.15
이뻐하다,positive,술어,1.42,0.29,5.53,4.73
